,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,medidas preventivas,2023-01-01,18,11,20,28,0,36,0,12,0,0,0,0,0,0,125
ACHACACHI,atencion odontologica,medidas preventivas,2023-01-01,45,39,67,99,71,41,16,54,1,3,0,0,0,0,436
ACHOCALLA,atencion odontologica,medidas preventivas,2023-01-01,75,57,62,143,27,40,3,28,3,6,0,0,0,0,444
AIQUILE,atencion odontologica,medidas preventivas,2023-01-01,26,65,197,205,109,133,112,243,25,28,0,0,0,0,1143
ALALAY,atencion odontologica,medidas preventivas,2023-01-01,0,0,2,2,0,0,2,2,0,0,0,0,0,0,8
ALCALA,atencion odontologica,medidas preventivas,2023-01-01,2,0,3,3,2,4,1,1,0,0,0,0,0,0,16
ALTO BENI,atencion odontologica,medidas preventivas,2023-01-01,12,11,46,47,8,21,1,4,0,0,0,0,0,0,150
ANCORAIMES,atencion odontologica,medidas preventivas,2023-01-01,8,6,3,21,2,0,0,1,0,0,0,0,0,0,41
ANDAMARCA,atencion odontologica,medidas preventivas,2023-01-01,5,8,10,5,6,6,1,8,1,2,0,0,0,0,52
ANTEQUERA,atencion odontologica,medidas preventivas,2023-01-01,15,7,28,17,0,16,0,0,0,0,0,0,0,0,83
ANZALDO,atencion odontologica,medidas preventivas,2023-01-01,0,1,11,1,0,0,0,1,0,1,0,0,0,0,15
APOLO,atencion odontologica,medidas preventivas,2023-01-01,6,6,14,19,8,8,11,25,3,5,0,0,0,0,105
