,group,variable,month,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,1,2,2,0,2,1,2,0,0,0,0,0,0,11
ACHACACHI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4
ACHOCALLA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
AIQUILE,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,1,8,2,1,6,3,7,0,2,0,0,0,0,30
ALCALA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,1,0,0,1,1,1,1,0,0,0,0,0,0,0,5
ANTEQUERA,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,3,1,0,1,0,0,0,0,0,0,0,0,5
ANZALDO,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
ARANI,atencion odontologica,trat. odontologico integral terminado,2023-01-01,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
