,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2023-01-01,4,6,4,7,4,11,10,20,3,5,0,1,0,0,75
ACHACACHI,atencion odontologica,primera consulta,2023-01-01,32,37,78,91,52,75,61,198,10,30,0,34,0,7,705
ACHOCALLA,atencion odontologica,primera consulta,2023-01-01,71,50,80,114,24,57,21,104,10,12,0,24,0,7,574
AIQUILE,atencion odontologica,primera consulta,2023-01-01,6,5,20,23,6,14,14,35,2,6,0,12,0,3,146
ALALAY,atencion odontologica,primera consulta,2023-01-01,0,0,2,2,3,3,2,5,0,1,0,0,0,0,18
ALCALA,atencion odontologica,primera consulta,2023-01-01,8,2,16,19,8,15,16,40,3,2,0,3,0,1,133
ALTO BENI,atencion odontologica,primera consulta,2023-01-01,12,8,42,44,13,24,27,42,1,0,0,4,0,0,217
ANCORAIMES,atencion odontologica,primera consulta,2023-01-01,6,6,27,28,44,36,27,57,23,24,0,2,0,0,280
ANDAMARCA,atencion odontologica,primera consulta,2023-01-01,18,8,11,21,14,6,9,28,10,10,0,3,0,0,138
ANTEQUERA,atencion odontologica,primera consulta,2023-01-01,5,2,5,5,1,5,12,9,1,1,0,1,0,0,47
ANZALDO,atencion odontologica,primera consulta,2023-01-01,1,1,17,6,6,8,8,23,3,4,0,0,0,0,77
APOLO,atencion odontologica,primera consulta,2023-01-01,8,9,16,23,15,14,17,32,3,6,0,10,0,2,155
ARAMPAMPA,atencion odontologica,primera consulta,2023-01-01,5,13,5,5,4,4,12,18,3,7,0,2,0,0,78
