,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
CABEZAS,atencion odontologica,trat. de fracturas dentoalveolares,2023-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2023-01-01,0,0,1,2,0,0,0,3,0,0,0,0,0,0,6
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2023-01-01,1,2,7,3,3,6,10,27,13,12,0,0,0,0,84
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2023-01-01,0,1,0,1,0,2,4,12,2,1,0,0,0,0,23
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2023-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PUNATA,atencion odontologica,trat. de fracturas dentoalveolares,2023-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2023-01-01,2,0,6,2,0,4,7,9,4,0,0,0,0,0,34
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2023-01-01,0,0,0,0,0,0,7,4,0,0,0,0,0,0,11
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2023-01-01,0,2,0,2,0,0,0,2,0,0,0,0,0,0,6
