,group,variable,month,4. NACIDOS VIVOS PREMATUROS < 28 SEMANAS SERV/DOM,4. NACIDOS VIVOS PREMATUROS < 28 SEMANAS SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-01-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-01-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-01-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-01-01,1,0,1,0,1
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-02-01,2,0,2,0,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-02-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-02-01,4,0,4,0,4
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-02-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-02-01,2,0,2,0,2
TIPUANI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-02-01,7,0,7,0,7
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-03-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-03-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-03-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-03-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-03-01,3,0,3,0,3
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-03-01,4,0,4,0,4
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-03-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-03-01,2,0,2,0,2
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-03-01,3,0,3,0,3
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-03-01,1,0,1,0,1
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,15,0,15,0,15
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,3,0,3,0,3
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,2,0,2,0,2
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-04-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-05-01,7,0,7,0,7
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-05-01,4,0,4,0,4
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-05-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-05-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-05-01,8,0,8,0,8
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-05-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-05-01,2,0,2,0,2
TAHUA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-05-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-05-01,7,0,7,0,7
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-05-01,1,0,1,0,1
ALTO BENI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-06-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-06-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-06-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-06-01,62,0,62,0,62
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-06-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-06-01,2,0,2,0,2
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-06-01,4,0,4,0,4
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-06-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-06-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-07-01,3,0,3,0,3
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-07-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-07-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-07-01,38,0,38,0,38
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-07-01,3,0,3,0,3
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-07-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-08-01,2,0,2,0,2
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-08-01,3,0,3,0,3
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-08-01,3,0,3,0,3
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-08-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-08-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-08-01,3,0,3,0,3
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-08-01,5,0,5,0,5
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-08-01,3,0,3,0,3
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-08-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-08-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,2,0,2,0,2
COPACABANA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,0,3,0,3,3
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,9,0,9,0,9
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,7,0,7,0,7
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,4,0,4,0,4
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,3,0,3,0,3
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,2,0,2,0,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-09-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-10-01,2,0,2,0,2
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-10-01,5,0,5,0,5
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-11-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-11-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-11-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-11-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-11-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-11-01,3,0,3,0,3
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-11-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-11-01,6,0,6,0,6
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-11-01,3,0,3,0,3
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-12-01,4,0,4,0,4
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-12-01,8,0,8,0,8
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-12-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-12-01,3,0,3,0,3
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-12-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-12-01,2,0,2,0,2
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-12-01,3,0,3,0,3
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros < 28 semanas,2024-12-01,2,0,2,0,2
