,group,variable,month,13. NACIDOS MUERTOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,13. NACIDOS MUERTOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,0,1,0,1,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,13,0,13,0,13
CONCEPCION,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,20,0,20,0,20
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,5,0,5,0,5
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,4,0,4,0,4
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,3,0,3,0,3
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,240,0,240,0,240
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,3,0,3,0,3
TAPACARI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
TARABUCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,2,0,2,0,2
YACUIBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-01-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,0,1,0,1,1
APOLO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,2,0,2,0,2
CULPINA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,9,0,9,0,9
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,2,0,2,0,2
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,6,0,6,0,6
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,6,0,6,0,6
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,4,0,4,0,4
PUCARANI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,6,2,6,2,8
SACABA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,10,0,10,0,10
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,4,0,4,0,4
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,6,0,6,0,6
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,2,0,2,0,2
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,2,0,2,0,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-02-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,0,2,0,2,2
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,0,1,0,1,1
CKOCHAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,9,0,9,0,9
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,21,0,21,0,21
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,2,0,2,0,2
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,11,0,11,0,11
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,6,0,6,0,6
OCURI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,11,0,11,0,11
POROMA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,6,0,6,0,6
ROBORE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,14,0,14,0,14
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,2,0,2,0,2
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,2,0,2,0,2
TARVITA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,0,1,0,1,1
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,3,0,3,0,3
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-03-01,6,0,6,0,6
AYO AYO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,0,1,0,1,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,4,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,4,0,4,0,4
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,2,0,2,0,2
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,2,0,2,0,2
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,2,0,2,0,2
HUANUNI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,15,0,15,0,15
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,9,0,9,0,9
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,5,0,5,0,5
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,2,1,2,3
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
REYES,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,20,0,20,0,20
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,3,0,3,0,3
TARACO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
UNCIA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-04-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,0,1,0,1,1
AIQUILE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,0,1,0,1,1
AYO AYO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,0,2,0,2,2
CAMARGO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por personal de salud,2024-05-01,4,0,4,0,4
