,group,variable,month,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,1,0,1,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,2,0,2,2
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,2,0,2,0,2
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,2,0,2,0,2
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,2,0,2,0,2
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,7,0,7,0,7
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,76,0,76,0,76
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,2,0,2,0,2
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,1,0,1,1
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,78,1,78,1,79
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,2,0,2,0,2
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,4,0,4,0,4
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,1,0,1,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,1,1,1,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,141,3,141,3,144
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,3,0,3,0,3
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,12,0,12,0,12
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,3,0,3,0,3
OCURI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,45,0,45,0,45
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,1,0,1,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,2,1,2,1,3
PORCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,40,0,40,0,40
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,2,0,2,2
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,3,0,3,0,3
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,6,0,6,0,6
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,24,0,24,0,24
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,3,0,3,0,3
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,4,0,4,0,4
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,6,0,6,0,6
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,3,0,3,0,3
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,1,0,1,1
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,2,0,2,0,2
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,78,0,78,0,78
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
SORATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,37,0,37,0,37
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,2,0,2,0,2
TARACO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,8,0,8,0,8
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,0,1,0,1,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,3,2,3,2,5
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,28,0,28,0,28
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,4,0,4,0,4
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,3,0,3,0,3
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,9,0,9,0,9
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
VINTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,6,0,6,0,6
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-01-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,2,2,2,4
ALALAY,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,0,2,0,2,2
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,0,1,0,1,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,1,1,1,2
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,90,0,90,0,90
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,0,1,0,1,1
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
COROICO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,1,1,1,2
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,0,1,0,1,1
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,79,1,79,1,80
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,5,0,5,0,5
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,0,1,0,1,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,127,0,127,0,127
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,4,0,4,0,4
LORETO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,0,1,0,1,1
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,8,0,8,0,8
OCURI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,33,0,33,0,33
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
POSTRER VALLE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-02-01,34,0,34,0,34
