,group,variable,month,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
ACACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,33,11,33,11,44
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,2,0,2,2
ALALAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
ALCALA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
ALTO BENI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,6,0,6,6
ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,2,1,2,3
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,1,1,1,2
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,13,6,13,6,19
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,1,1,1,2
ARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
ARBIETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,11,3,11,14
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,5,0,5,5
AYATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,4,3,4,7
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,5,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,12,3,12,3,15
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,2,6,2,8
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,5,1,5,6
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,17,1,17,1,18
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,6,1,6,7
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,8,0,8,0,8
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,6,1,6,7
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,2,2,2,4
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,2,5,2,7
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,3,1,3,4
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,19,0,19,0,19
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,36,0,36,0,36
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,16,0,16,0,16
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,6,1,6,7
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,9,4,9,4,13
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,2,3,2,5
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,0,6,0,6
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,3,1,3,4
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,8,0,8,0,8
CATACORA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
CHACARILLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,1,1,1,2
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,36,1,36,1,37
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,0,5,0,5
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,36,3,36,3,39
CHARAÑA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,3,0,3,3
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,12,4,12,4,16
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,17,0,17,0,17
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,7,1,7,8
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,10,0,10,0,10
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,17,6,17,23
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,23,0,23,0,23
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,15,0,15,0,15
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,7,10,7,10,17
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,862,0,862,0,862
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,4,4,4,8
COLLANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,0,5,0,5
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,12,16,12,16,28
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,2,0,2,2
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,15,3,15,18
COMANCHE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,21,0,21,0,21
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,23,1,23,1,24
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,12,1,12,1,13
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,2,2,2,4
COROICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,17,1,17,1,18
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,7,1,7,1,8
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,61,4,61,4,65
CUCHUMUELA (V. G. VILLARROEL),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,4,0,4,4
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
CURVA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,794,39,794,39,833
EL CHORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,2,0,2,2
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,0,6,0,6
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,1,3,1,4
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,9,2,9,2,11
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,0,3,0,3
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,0,3,0,3
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,1,0,1,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,8,0,8,0,8
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,0,5,0,5
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,3,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,14,0,14,14
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,12,1,12,1,13
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,1,2,1,3
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,72,0,72,0,72
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,6,0,6,0,6
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,0,4,0,4
HUACHACALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,16,1,16,1,17
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,3,0,3,3
HUATAJATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,1,1,1,2
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,1,2,1,3
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,3,0,3,3
ICLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,5,5,5,10
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,5,8,5,8,13
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,0,2,0,2
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,16,4,16,20
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,3,3,3,3,6
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,2,1,2,3
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,21,1,21,1,22
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,80,0,80,0,80
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,464,0,464,0,464
LAJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,5,2,5,7
LAS CARRERAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,1,0,1,0,1
LICOMA PAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,4,1,4,1,5
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,0,7,0,7,7
LLICA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-01-01,2,1,2,1,3
