,group,variable,month,12. NACIDOS MUERTOS PREMATUROS 28 A < 37 SEMANAS SERV/DOM,12. NACIDOS MUERTOS PREMATUROS 28 A < 37 SEMANAS SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-01-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-01-01,2,0,2,0,2
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-01-01,5,0,5,0,5
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-01-01,3,0,3,0,3
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-01-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-01-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-01-01,2,0,2,0,2
TARABUCO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-01-01,1,0,1,0,1
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-02-01,3,0,3,0,3
PORVENIR,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-02-01,2,0,2,0,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,8,0,8,0,8
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,5,0,5,0,5
POROMA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
ROBORE,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,3,0,3,0,3
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
TARABUCO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,0,1,0,1,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,2,0,2,0,2
CKOCHAS,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,0,1,0,1,1
COROICO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,4,0,4,0,4
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,4,0,4,0,4
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,3,0,3,0,3
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,2,0,2,0,2
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,3,0,3,0,3
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
CORIPATA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,3,0,3,0,3
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,2,0,2,0,2
ROBORE,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,3,0,3,0,3
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,0,1,0,1,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,1,0,1,0,1
VINTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-05-01,2,0,2,0,2
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-06-01,4,0,4,0,4
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
PADILLA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-06-01,2,0,2,0,2
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-06-01,5,0,5,0,5
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-06-01,3,0,3,0,3
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-07-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-07-01,6,0,6,0,6
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-07-01,1,0,1,0,1
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-07-01,2,0,2,0,2
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-08-01,4,0,4,0,4
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
MAIRANA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-08-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
POROMA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-08-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-08-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,5,0,5,0,5
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,2,1,2,1,3
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,3,1,3,1,4
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,1,1,1,1,2
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,2,0,2,0,2
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-09-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,5,0,5,0,5
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos prematuros 28  a < 37 semanas,2024-10-01,1,0,1,0,1
