,group,variable,month,10. NACIDOS MUERTOS CON PESO MENOR A 2500G SERV/DOM,10. NACIDOS MUERTOS CON PESO MENOR A 2500G SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,2,0,2,0,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,10,0,10,0,10
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,15,0,15,0,15
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,17,1,17,1,18
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,4,0,4,0,4
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,3,0,3,0,3
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,2,0,2,0,2
ROBORE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,4,0,4,0,4
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,2,0,2,0,2
TARABUCO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,4,0,4,0,4
TUPIZA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,2,0,2,0,2
WARNES,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-01-01,4,0,4,0,4
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,53,0,53,0,53
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,7,0,7,0,7
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
CULPINA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,4,0,4,0,4
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,12,0,12,0,12
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
MAIRANA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,4,0,4,0,4
PORVENIR,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,2,0,2,0,2
SACABA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,2,0,2,0,2
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,3,0,3,0,3
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,4,0,4,0,4
VILLAZON,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-02-01,2,0,2,0,2
AYO AYO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,0,1,0,1,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,8,0,8,0,8
CORO CORO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,17,0,17,0,17
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,13,0,13,0,13
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,4,1,4,1,5
POROMA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,3,0,3,0,3
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,2,0,2,0,2
ROBORE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,10,0,10,0,10
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,2,0,2,0,2
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
TARVITA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,0,1,0,1,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,2,0,2,0,2
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,3,0,3,0,3
VIACHA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,6,0,6,0,6
VILLAZON,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,3,0,3,0,3
YACUIBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-03-01,2,0,2,0,2
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,2,0,2,0,2
CABEZAS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,2,0,2,0,2
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
CKOCHAS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,9,0,9,0,9
COROICO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,10,1,10,1,11
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,2,0,2,0,2
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,7,0,7,0,7
ORURO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,4,0,4,0,4
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,11,0,11,0,11
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,0,1,0,1,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-04-01,3,0,3,0,3
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,3,0,3,0,3
BERMEJO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,6,0,6,0,6
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,9,0,9,0,9
ESCOMA,recien nacidos en servicio y domicilio,nacidos muertos con peso menor a 2500g,2024-05-01,1,0,1,0,1
