,group,variable,month,8. NACIDOS VIVOS ATENDIDOS POR OTROS SERV/DOM,8. NACIDOS VIVOS ATENDIDOS POR OTROS SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
ARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,2,0,2,2
ARBIETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,3,0,3,3
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,4,0,4,4
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
COROICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,5,0,5,5
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,2,0,2,2
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,2,0,2,2
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,8,0,8,8
LAJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,3,0,3,3
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,2,0,2,2
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,16,0,16,16
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,3,0,3,3
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,5,0,5,5
SACABA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
SACACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,4,0,4,4
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,2,0,2,2
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,2,0,2,2
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,1,0,1,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,2,0,2,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,3,0,3,3
VINTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-01-01,0,4,0,4,4
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,2,0,2,2
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,2,0,2,2
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,5,0,5,5
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,2,0,2,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,8,0,8,8
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
COROICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,16,0,16,16
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,3,0,3,3
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,3,0,3,3
LORETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,11,0,11,11
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,3,0,3,3
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,4,0,4,4
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,2,0,2,2
SACABA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
SACACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
SAN JOAQUIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,5,0,5,5
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,2,0,2,2
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,2,0,2,2
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,2,0,2,2
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,2,0,2,2
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,3,0,3,3
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,2,0,2,2
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
VINTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,4,0,4,4
WARNES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
YOCALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-02-01,0,1,0,1,1
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,2,0,2,2
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,2,0,2,2
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,2,0,2,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,5,0,5,5
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
COROICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,10,0,10,10
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,6,0,6,6
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,2,0,2,2
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,5,0,5,5
LAJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,2,0,2,2
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,10,0,10,10
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,4,0,4,4
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,7,0,7,7
SAN JOAQUIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,4,0,4,4
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
SENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,1,0,1,1
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-03-01,0,2,0,2,2
