,group,variable,month,11. NACIDOS MUERTOS PREMATUROS < 28 SEMANAS SERV/DOM,11. NACIDOS MUERTOS PREMATUROS < 28 SEMANAS SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-01-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-01-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-01-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-01-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-01-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-01-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-01-01,1,0,1,0,1
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-02-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-02-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-02-01,5,0,5,0,5
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-02-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-02-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-02-01,1,0,1,0,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-02-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-02-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-03-01,2,0,2,0,2
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-03-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-03-01,6,0,6,0,6
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-03-01,1,1,1,1,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-03-01,2,0,2,0,2
SACABA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-03-01,4,0,4,0,4
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-03-01,1,0,1,0,1
TARVITA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-03-01,0,1,0,1,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-03-01,2,0,2,0,2
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-04-01,2,1,2,1,3
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-04-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-04-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-04-01,3,0,3,0,3
CAMARGO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-05-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-05-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-05-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-05-01,4,0,4,0,4
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-05-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-05-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-05-01,2,0,2,0,2
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-05-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-06-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-06-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-06-01,2,0,2,0,2
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-06-01,1,1,1,1,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-06-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-06-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-06-01,1,0,1,0,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-06-01,2,0,2,0,2
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-06-01,1,1,1,1,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-07-01,1,0,1,0,1
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-07-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-07-01,3,0,3,0,3
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-07-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-07-01,1,0,1,0,1
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-07-01,1,0,1,0,1
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-07-01,2,0,2,0,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-07-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-08-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-08-01,4,0,4,0,4
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-08-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-08-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-08-01,1,0,1,0,1
SORATA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-08-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-08-01,1,0,1,0,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-08-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,4,0,4,0,4
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,8,0,8,0,8
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,3,0,3,0,3
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,3,0,3,0,3
SAN RAMON SCZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,3,0,3,0,3
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-09-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,3,0,3,0,3
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,2,0,2,0,2
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,2,0,2,0,2
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,6,0,6,0,6
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
TARACO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,1,0,1,0,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-10-01,2,0,2,0,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-11-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-11-01,2,0,2,0,2
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-11-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-11-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-11-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-11-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-12-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-12-01,8,0,8,0,8
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-12-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-12-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-12-01,1,0,1,0,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-12-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-12-01,1,0,1,0,1
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-12-01,1,1,1,1,2
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-12-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos prematuros < 28 semanas,2024-12-01,2,0,2,0,2
