,group,variable,month,5. NACIDOS VIVOS PREMATUROS 28 A < 37 SEMANAS SERV/DOM,5. NACIDOS VIVOS PREMATUROS 28 A < 37 SEMANAS SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
AYATA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,1,0,1,0,1
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,0,1,0,1,1
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,6,0,6,0,6
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,7,0,7,0,7
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,2,0,2,0,2
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,19,0,19,0,19
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,22,0,22,0,22
OCURI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,63,0,63,0,63
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,4,0,4,0,4
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,41,0,41,0,41
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,60,0,60,0,60
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,6,0,6,0,6
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,43,0,43,0,43
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,41,0,41,0,41
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,2,0,2,0,2
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-01-01,7,0,7,0,7
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,5,0,5,0,5
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,21,0,21,0,21
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,2,0,2,0,2
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,32,0,32,0,32
OCURI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,49,0,49,0,49
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,26,0,26,0,26
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,49,0,49,0,49
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,2,0,2,0,2
SACABA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,2,2,2,2,4
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,45,1,45,1,46
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,46,0,46,0,46
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,11,0,11,0,11
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,2,0,2,0,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,5,0,5,0,5
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-02-01,3,0,3,0,3
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,0,1,0,1,1
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,0,1,0,1,1
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
BOLPEBRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,0,1,0,1,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,6,0,6,0,6
COROICO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,21,1,21,1,22
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,2,0,2,0,2
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,6,0,6,0,6
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,58,0,58,0,58
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,0,1,0,1,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,55,0,55,0,55
POROMA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,73,0,73,0,73
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,44,0,44,0,44
SACABA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,48,0,48,0,48
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,47,0,47,0,47
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,19,0,19,0,19
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,0,1,0,1,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,0,4,0,4,4
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,8,0,8,0,8
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,2,0,2,0,2
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,0,1,0,1,1
WARNES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-03-01,2,0,2,0,2
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,2,0,2,0,2
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,44,0,44,0,44
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,9,0,9,0,9
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,5,0,5,0,5
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,54,0,54,0,54
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,2,0,2,0,2
OCURI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,1,1,1,1,2
ORURO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,67,0,67,0,67
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,0,1,0,1,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,77,0,77,0,77
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,40,0,40,0,40
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,4,0,4,0,4
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,1,0,1,0,1
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,7,0,7,0,7
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos prematuros 28  a < 37 semanas,2024-04-01,0,1,0,1,1
