,group,variable,month,16. RN CON MALFORMACIÓN CONGÉNITA SERV/DOM,16. RN CON MALFORMACIÓN CONGÉNITA SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
CARACOLLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
CKOCHAS,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,2,0,2,0,2
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,3,0,3,0,3
HUMANATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,0,1,0,1,1
LA ASUNTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,10,0,10,0,10
LORETO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,2,0,2,0,2
POCOATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,4,0,4,0,4
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,2,0,2,0,2
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
SOPACHUY,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,3,0,3,0,3
TAPACARI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,0,1,0,1,1
TARABUCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
TUPIZA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
VILLAZON,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-01-01,1,0,1,0,1
APOLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,1,1,1,2
AYO AYO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,0,1,0,1,1
CARAPARI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
COCAPATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,2,0,2,0,2
FILADELFIA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,35,0,35,0,35
LLALLAGUA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
ROBORE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,8,0,8,0,8
SAN BORJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
SAN LORENZO(PND),recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,5,0,5,0,5
SUCRE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
TARVITA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
TUPIZA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
UNCIA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,0,1,0,1,1
YACUIBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-02-01,1,0,1,0,1
APOLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
CAJUATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
CARAPARI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,2,0,2,0,2
CHALLAPATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,22,0,22,0,22
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
GUTIERREZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
HUACARAJE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,12,0,12,0,12
OCURI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,4,0,4,0,4
RIBERALTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,3,0,3,0,3
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
SAN LORENZO(PND),recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,5,1,5,1,6
SANTA ROSA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,0,3,0,3,3
VILLAZON,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
VINTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-03-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,2,0,2,0,2
BUENA VISTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
CAIROMA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
CAMARGO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,2,0,2,0,2
COCHABAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,3,0,3,0,3
COLQUENCHA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,4,0,4,0,4
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,3,0,3,0,3
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,2,0,2,0,2
HUACARAJE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,21,0,21,0,21
LAS CARRERAS,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,2,0,2,0,2
PORTACHUELO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,7,0,7,0,7
PUNATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,10,0,10,0,10
SHINAOTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,1,1,1,2
SUCRE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,2,0,2,0,2
TARIJA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
TARVITA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
VILA VILA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
VINTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,2,0,2,0,2
YACUIBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-04-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,1,0,1,0,1
COCAPATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,5,0,5,0,5
"COLCHA ""K""",recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,1,0,1,0,1
CORIPATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,1,0,1,0,1
DESAGUADERO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,4,0,4,0,4
EL PUENTE(TJA),recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,16,0,16,0,16
ORURO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,0,1,0,1,1
POOPO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,7,0,7,0,7
PUERTO CARABUCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,0,1,0,1,1
PUNATA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,2,0,2,0,2
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,2,0,2,0,2
SACABA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,7,0,7,0,7
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,4,0,4,0,4
SAN JULIAN,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,5,0,5,0,5
SUCRE,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,3,0,3,0,3
TARVITA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,3,0,3,0,3
YAMPARAEZ,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-05-01,0,1,0,1,1
APOLO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,1,0,1,0,1
CKOCHAS,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,6,0,6,0,6
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,rn con malformacion congenita,2024-06-01,2,0,2,0,2
