municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-01-01,2,2
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-01-01,1,1
TRINIDAD,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-01-01,1,1
EL VILLAR,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-02-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-02-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-02-01,1,1
YAMPARAEZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-02-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-03-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-03-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-03-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-03-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-03-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-03-01,2,2
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-03-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-03-01,1,1
SORATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-03-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-04-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-04-01,1,1
CHARAÑA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-04-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-04-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-04-01,2,2
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-04-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-04-01,4,4
TARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-04-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-04-01,1,1
VIACHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-05-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-05-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-05-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-05-01,2,2
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-06-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-06-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-06-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-06-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-06-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-06-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-06-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-06-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-07-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-07-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-07-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-07-01,2,2
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-07-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-07-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-08-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-08-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-08-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-08-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-08-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-09-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2018-09-01,1,1
