municipality,group,variable,month,Nacidos muertos atendidos por partera,TOTAL
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-01-01,2,2
EL TORNO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-01-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-01-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-01-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-02-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-02-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-03-01,1,1
CARAPARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-03-01,1,1
SAN JAVIER(STC),atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-03-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-04-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-04-01,1,1
LORETO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-04-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-04-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-04-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-05-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-05-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-05-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-05-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-05-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-05-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-05-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-06-01,1,1
CHUMA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-06-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-06-01,2,2
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-07-01,1,1
TOLEDO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-07-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-08-01,1,1
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-08-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-08-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-09-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-09-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-09-01,1,1
TARIJA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-09-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-10-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-10-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-10-01,1,1
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-10-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-10-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-11-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-11-01,1,1
COPACABANA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-11-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-11-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-11-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-11-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-11-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-11-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-12-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-12-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-12-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-12-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2018-12-01,1,1
