municipality,group,variable,month,RN con visita de control en las 48 hrs siguientes al nacimiento,TOTAL
ACACIO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,4,4
ACHACACHI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,20,20
ACHOCALLA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,2,2
AIQUILE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,2,2
ALALAY,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
ALTO BENI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,5,5
ANCORAIMES,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,6,6
ANDAMARCA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,2,2
ANTEQUERA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
ANZALDO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
APOLO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,4,4
ARAMPAMPA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,2,2
ARBIETO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
ARQUE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,15,15
ATOCHA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
AUCAPATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,2,2
AYATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,8,8
AYO AYO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,10,10
AZURDUY,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,10,10
BATALLAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,11,11
BETANZOS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,12,12
BOLIVAR,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,6,6
BUENA VISTA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
CABEZAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,15,15
CAIROMA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
CALAMARCA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,9,9
CAMARGO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
CAPINOTA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
CAQUIAVIRI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,5,5
CARACOLLO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,5,5
CARANAVI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
CARAPARI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
CARIPUYO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,8,8
CARMEN RIVERO TORREZ,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
CATACORA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
CHACARILLA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,13,13
CHAQUI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
CHARAGUA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
CHARAÑA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,2,2
CHAYANTA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,6,6
CHIMORE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,5,5
CHIPAYA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
CHUMA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,5,5
CKOCHAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,10,10
COCAPATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,8,8
"COLCHA ""K""",atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,9,9
COLLANA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
COLOMI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,9,9
COLQUECHACA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,26,26
COLQUENCHA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,8,8
COLQUIRI,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,14,14
COMANCHE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
COMBAYA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
CONCEPCION,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
COPACABANA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
CORIPATA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
CORO CORO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,5,5
COROICO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,2,2
CORQUE,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
COTAGAITA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,2,2
COTOCA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,5,5
CUEVO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
CULPINA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,9,9
CURAHUARA DE CARANGAS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
CURVA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
DESAGUADERO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,4,4
EL ALTO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,21,21
EL CHORO,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
ENTRE RIOS CBBA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,3,3
EUCALIPTUS,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,2,2
FILADELFIA,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,2,2
GUANAY,atencion de partos en domicilio,rn con visita de control en las 48 hrs siguientes al nacimiento,2018-01-01,4,4
