municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-01-01,3,3
IXIAMAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-01-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-01-01,1,1
REYES,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-01-01,1,1
VACAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-01-01,2,2
AYO AYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,2,2
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,1,1
HUARACAJE,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,1,1
IXIAMAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,2,2
POTOSI,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,1,1
ROBORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,2,2
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,3,3
TOMINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,1,1
YACUIBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-02-01,1,1
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
COROICO,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,2,2
TOMINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-03-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
LORETO,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2018-04-01,1,1
