municipality,group,variable,month,RN con apego precoz,TOTAL
ACACIO,atencion de partos en domicilio,rn con apego precoz,2018-01-01,4,4
ACHACACHI,atencion de partos en domicilio,rn con apego precoz,2018-01-01,18,18
AIQUILE,atencion de partos en domicilio,rn con apego precoz,2018-01-01,2,2
ALTO BENI,atencion de partos en domicilio,rn con apego precoz,2018-01-01,4,4
ANCORAIMES,atencion de partos en domicilio,rn con apego precoz,2018-01-01,6,6
ANDAMARCA,atencion de partos en domicilio,rn con apego precoz,2018-01-01,3,3
ANTEQUERA,atencion de partos en domicilio,rn con apego precoz,2018-01-01,1,1
ANZALDO,atencion de partos en domicilio,rn con apego precoz,2018-01-01,1,1
APOLO,atencion de partos en domicilio,rn con apego precoz,2018-01-01,4,4
ARAMPAMPA,atencion de partos en domicilio,rn con apego precoz,2018-01-01,2,2
ARQUE,atencion de partos en domicilio,rn con apego precoz,2018-01-01,15,15
ASCENCION DE GUARAYOS,atencion de partos en domicilio,rn con apego precoz,2018-01-01,1,1
ATOCHA,atencion de partos en domicilio,rn con apego precoz,2018-01-01,1,1
AUCAPATA,atencion de partos en domicilio,rn con apego precoz,2018-01-01,2,2
AYATA,atencion de partos en domicilio,rn con apego precoz,2018-01-01,8,8
AYO AYO,atencion de partos en domicilio,rn con apego precoz,2018-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,rn con apego precoz,2018-01-01,9,9
AZURDUY,atencion de partos en domicilio,rn con apego precoz,2018-01-01,9,9
BATALLAS,atencion de partos en domicilio,rn con apego precoz,2018-01-01,11,11
BELEN DE ANDAMARCA,atencion de partos en domicilio,rn con apego precoz,2018-01-01,1,1
BETANZOS,atencion de partos en domicilio,rn con apego precoz,2018-01-01,11,11
BOLIVAR,atencion de partos en domicilio,rn con apego precoz,2018-01-01,6,6
BUENA VISTA,atencion de partos en domicilio,rn con apego precoz,2018-01-01,1,1
CAIROMA,atencion de partos en domicilio,rn con apego precoz,2018-01-01,1,1
CALAMARCA,atencion de partos en domicilio,rn con apego precoz,2018-01-01,9,9
CAMARGO,atencion de partos en domicilio,rn con apego precoz,2018-01-01,3,3
CAPINOTA,atencion de partos en domicilio,rn con apego precoz,2018-01-01,1,1
