municipality,group,variable,month,RN con malformación congénita,TOTAL
COLLANA,atencion de partos en domicilio,rn con malformacion congenita,2018-01-01,1,1
COLQUENCHA,atencion de partos en domicilio,rn con malformacion congenita,2018-01-01,1,1
POROMA,atencion de partos en domicilio,rn con malformacion congenita,2018-01-01,1,1
SOPACHUY,atencion de partos en domicilio,rn con malformacion congenita,2018-01-01,1,1
TRINIDAD,atencion de partos en domicilio,rn con malformacion congenita,2018-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,rn con malformacion congenita,2018-02-01,1,1
CKOCHAS,atencion de partos en domicilio,rn con malformacion congenita,2018-02-01,1,1
MIZQUE,atencion de partos en domicilio,rn con malformacion congenita,2018-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,rn con malformacion congenita,2018-03-01,1,1
PUCARANI,atencion de partos en domicilio,rn con malformacion congenita,2018-03-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,rn con malformacion congenita,2018-04-01,1,1
TORO TORO,atencion de partos en domicilio,rn con malformacion congenita,2018-04-01,1,1
ACHACACHI,atencion de partos en domicilio,rn con malformacion congenita,2018-05-01,1,1
BATALLAS,atencion de partos en domicilio,rn con malformacion congenita,2018-05-01,2,2
CHOQUE COTA,atencion de partos en domicilio,rn con malformacion congenita,2018-05-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,rn con malformacion congenita,2018-05-01,1,1
INQUISIVI,atencion de partos en domicilio,rn con malformacion congenita,2018-05-01,1,1
PELECHUCO,atencion de partos en domicilio,rn con malformacion congenita,2018-05-01,1,1
PUCARANI,atencion de partos en domicilio,rn con malformacion congenita,2018-05-01,1,1
PUNA,atencion de partos en domicilio,rn con malformacion congenita,2018-05-01,1,1
SANTIAGO DE HUATA,atencion de partos en domicilio,rn con malformacion congenita,2018-05-01,1,1
CHAQUI,atencion de partos en domicilio,rn con malformacion congenita,2018-06-01,1,1
CKOCHAS,atencion de partos en domicilio,rn con malformacion congenita,2018-06-01,1,1
COMANCHE,atencion de partos en domicilio,rn con malformacion congenita,2018-06-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,rn con malformacion congenita,2018-06-01,3,3
SACACA,atencion de partos en domicilio,rn con malformacion congenita,2018-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,rn con malformacion congenita,2018-06-01,1,1
CHAQUI,atencion de partos en domicilio,rn con malformacion congenita,2018-07-01,1,1
EXALTACION,atencion de partos en domicilio,rn con malformacion congenita,2018-07-01,1,1
RAVELO,atencion de partos en domicilio,rn con malformacion congenita,2018-07-01,1,1
ARQUE,atencion de partos en domicilio,rn con malformacion congenita,2018-08-01,1,1
CHUA COCANI,atencion de partos en domicilio,rn con malformacion congenita,2018-08-01,1,1
INCAHUASI,atencion de partos en domicilio,rn con malformacion congenita,2018-08-01,1,1
MECAPACA,atencion de partos en domicilio,rn con malformacion congenita,2018-08-01,1,1
SACACA,atencion de partos en domicilio,rn con malformacion congenita,2018-08-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,rn con malformacion congenita,2018-08-01,1,1
TIRAQUE (CBBA),atencion de partos en domicilio,rn con malformacion congenita,2018-08-01,1,1
YACUIBA,atencion de partos en domicilio,rn con malformacion congenita,2018-08-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,rn con malformacion congenita,2018-09-01,1,1
COROICO,atencion de partos en domicilio,rn con malformacion congenita,2018-09-01,1,1
POROMA,atencion de partos en domicilio,rn con malformacion congenita,2018-09-01,2,2
TOTORA(CBBA),atencion de partos en domicilio,rn con malformacion congenita,2018-09-01,1,1
VILLA SERRANO,atencion de partos en domicilio,rn con malformacion congenita,2018-09-01,1,1
YAMPARAEZ,atencion de partos en domicilio,rn con malformacion congenita,2018-09-01,1,1
AZURDUY,atencion de partos en domicilio,rn con malformacion congenita,2018-10-01,1,1
CKOCHAS,atencion de partos en domicilio,rn con malformacion congenita,2018-10-01,1,1
CORIPATA,atencion de partos en domicilio,rn con malformacion congenita,2018-10-01,1,1
EXALTACION,atencion de partos en domicilio,rn con malformacion congenita,2018-10-01,1,1
HUMANATA,atencion de partos en domicilio,rn con malformacion congenita,2018-10-01,1,1
TIAWANACU,atencion de partos en domicilio,rn con malformacion congenita,2018-10-01,1,1
VILLA TUNARI,atencion de partos en domicilio,rn con malformacion congenita,2018-10-01,1,1
VINTO,atencion de partos en domicilio,rn con malformacion congenita,2018-10-01,1,1
LLALLAGUA,atencion de partos en domicilio,rn con malformacion congenita,2018-11-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,rn con malformacion congenita,2018-11-01,1,1
SANTIAGO DE CALLAPA,atencion de partos en domicilio,rn con malformacion congenita,2018-11-01,1,1
LA GUARDIA,atencion de partos en domicilio,rn con malformacion congenita,2018-12-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,rn con malformacion congenita,2018-12-01,1,1
VILLA TUNARI,atencion de partos en domicilio,rn con malformacion congenita,2018-12-01,1,1
VINTO,atencion de partos en domicilio,rn con malformacion congenita,2018-12-01,1,1
