municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
AYO AYO,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,15,15
CAPINOTA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,3,3
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
LORETO,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
MAGDALENA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,3,3
OCURI,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,4,4
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,2,2
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,2,2
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,3,3
TOMAVE,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,3,3
URIONDO (A. CONCEPCION),atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera empirica,2018-01-01,4,4
BOYUIBE,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,11,11
CAPINOTA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,2,2
HUARACAJE,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
MAGDALENA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
POROMA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,2,2
PUCARANI,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,3,3
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,4,4
SACABA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
SAN MATIAS,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2018-02-01,1,1
