municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,3,3
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,17,17
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
ALTO BENI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,4,4
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,12,12
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
ATOCHA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,3,3
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,7,7
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,6,6
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,3,3
BELEN DE ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,6,6
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
BUENA VISTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,3,3
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,4,4
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,5,5
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
CATACORA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,10,10
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
CHARAÑA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,3,3
CKOCHAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,5,5
COCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,6,6
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,6,6
COLLANA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,19,19
COLQUENCHA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,3,3
COLQUIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,12,12
COMANCHE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
COMBAYA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,3,3
CONCEPCION,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,3,3
CORIPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
CORO CORO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,4,4
COROICO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
CORQUE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
COTOCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,4,4
CUEVO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,9,9
CURVA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,3,3
EL ALTO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
EL PUENTE(STC),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
FILADELFIA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
GUANAY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,4,4
GUAQUI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,4,4
GUTIERREZ,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
HUACARETA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
HUANUNI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
HUARINA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
HUATAJATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
HUMANATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,4,4
ICLA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,2,2
INCAHUASI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,3,3
IXIAMAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,1,1
LA ASUNTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2018-01-01,6,6
