municipality,group,variable,month,Partos atendidos por otros,TOTAL
ALALAY,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
ARBIETO,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
AYO AYO,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,4,4
CARANAVI,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,3,3
CHAYANTA,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por otros,2018-01-01,2,2
COLLANA,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
COROICO,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,11,11
EL TORNO,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,4,4
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,2,2
LA GUARDIA,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,2,2
MAIRANA,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,2,2
MOCOMOCO,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
MONTERO,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,4,4
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por otros,2018-01-01,2,2
