municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-01-01,1,1
EL VILLAR,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-02-01,1,1
MONTERO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-02-01,1,1
YAMPARAEZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-03-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-03-01,2,2
MONTERO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-03-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-03-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-03-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-03-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-04-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-05-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-05-01,2,2
MONTERO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-05-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-05-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-06-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-06-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-06-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-06-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-06-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-06-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-06-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-07-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-07-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-07-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-07-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-07-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-08-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-08-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-08-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-09-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-09-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-09-01,1,1
CORIPATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-10-01,1,1
LORETO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-10-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-10-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-10-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-10-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-10-01,3,3
YAMPARAEZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-10-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-11-01,1,1
POTOSI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-11-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-11-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-11-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-12-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2018-12-01,3,3
