municipality,group,variable,month,Nacidos vivos atendidos por partera,TOTAL
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,15,15
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,2,2
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,3,3
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,3,3
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
LORETO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,3,3
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,4,4
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,2,2
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,4,4
REYES,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,2,2
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,2,2
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,2,2
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,2,2
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,4,4
URIONDO (A. CONCEPCION),atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,1,1
VACAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,2,2
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-01-01,4,4
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-02-01,1,1
BOYUIBE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-02-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-02-01,11,11
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-02-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-02-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-02-01,4,4
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2018-02-01,2,2
