,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-01-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-01-01,1,3,4
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-01-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-01-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-02-01,0,1,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-02-01,0,2,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-02-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-02-01,2,0,2
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-03-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-03-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-03-01,1,1,2
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-03-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-03-01,1,3,4
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-03-01,2,2,4
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-03-01,2,0,2
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-03-01,1,0,1
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-03-01,2,0,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-04-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-04-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-04-01,1,0,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-04-01,4,2,6
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-04-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-04-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-04-01,2,1,3
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-04-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-04-01,1,0,1
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-05-01,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-05-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-05-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-05-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-05-01,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-05-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-05-01,1,1,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2017-05-01,0,1,1
