,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CAMARGO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-01-01,2,0,2
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-01-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-01-01,3,0,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-01-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-01-01,2,2,4
SAN PEDRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-01-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-01-01,6,6,12
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-01-01,1,0,1
CAMARGO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,4,2,6
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,1,0,1
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,2,0,2
EL TORNO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,3,0,3
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,4,3,7
SANTA ROSA DEL SARA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-03-01,3,3,6
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-03-01,4,0,4
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-03-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-03-01,3,2,5
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-03-01,0,1,1
SAN BUENA VENTURA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-03-01,7,1,8
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-04-01,1,2,3
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-04-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-04-01,2,0,2
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-04-01,1,1,2
RIBERALTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-04-01,6,6,12
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-04-01,2,0,2
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2017-04-01,1,0,1
