,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,4,0,4
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,3,0,3
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,4,0,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,1,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,2,1,3
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,0,1,1
MOROCHATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,0,1,1
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
QUIRUSILLAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,0,2,2
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,16,9,25
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,0,1,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,2,0,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,1,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,1,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,9,0,9
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,0,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2017-02-01,0,1,1
