,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,1,2
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,1,2
CAMARGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,0,1,1
CAPINOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,2,0,2
CARACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,8,5,13
CARAPARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,0,1
CHALLAPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,1,2
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,2,0,2
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,3,0,3
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,25,5,30
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,2,0,2
COMARAPA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,0,1,1
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,1,2
COPACABANA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,0,1
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,1,2
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,3,3,6
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,28,15,43
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,3,0,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,0,3,3
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,4,1,5
HUANUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,2,5,7
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,17,18,35
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,4,1,5
MIZQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,1,2
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,10,3,13
OKINAWA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,0,1
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,3,3,6
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,3,2,5
PAMPA GRANDE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,1,2
POCONA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,0,1,1
POJO (CBBA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,0,2,2
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,2,2,4
PRESTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2017-01-01,3,1,4
