,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,1,0,1
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,4,2,6
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,1,0,1
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,8,1,9
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,0,2,2
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,6,2,8
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,0,1,1
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,1,0,1
ANTEQUERA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,1,0,1
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,4,3,7
ARAMPAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,0,1,1
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,4,5,9
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,10,2,12
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,1,0,1
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,16,5,21
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,1,0,1
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,2,1,3
BELEN DE ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,0,2,2
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,10,9,19
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,2,7,9
BOLPEBRA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,14,5,19
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,8,3,11
CAIROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,0,1,1
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,1,0,1
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,2,1,3
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,5,7,12
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,0,5,5
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,6,25,31
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,9,8,17
CAQUIAVIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,0,1,1
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,4,1,5
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,39,41,80
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,8,2,10
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,2,0,2
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,3,4,7
CHACARILLA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,1,0,1
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,11,5,16
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,3,0,3
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,7,6,13
CHAYANTA,tuberculosis y lepra,n de sintomaticos respiratorios,2017-01-01,2,2,4
