,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
ALTO BENI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,0,2
ARBIETO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,6,3,9
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,0,2
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,4,0,4
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,8,2,10
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,3,2,5
COLPA BELGICA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
COMARAPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,11,10,21
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,2,4
EUCALIPTUS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,1,2
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,4,1,5
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,4,1,5
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,1,3
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,6,3,9
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,0,2
MIZQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,1,2
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,4,6,10
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,0,2
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,2,2
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,1,2
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,2,4
ROBORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,1,2
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,2,2,4
SAN IGNACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2017-01-01,1,0,1
