,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CHIMORE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-01-01,1.0,0.0,1.0
YAPACANI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-01-01,2.0,0.0,2.0
CARANAVI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-02-01,1.0,0.0,1.0
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-02-01,0.0,1.0,1.0
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-02-01,0.0,2.0,2.0
MONTERO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-02-01,1.0,0.0,1.0
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-02-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-02-01,2.0,0.0,2.0
WARNES,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-02-01,0.0,1.0,1.0
YAPACANI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-02-01,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-03-01,1.0,1.0,2.0
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-05-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-05-01,1.0,1.0,2.0
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-06-01,1.0,0.0,1.0
COROICO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-06-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-06-01,0.0,1.0,1.0
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-07-01,1.0,0.0,1.0
COTOCA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-07-01,0.0,1.0,1.0
MONTERO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-07-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-07-01,0.0,1.0,1.0
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-08-01,0.0,1.0,1.0
TIQUIPAYA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-08-01,0.0,1.0,1.0
COROICO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-09-01,2.0,0.0,2.0
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-09-01,1.0,1.0,2.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-09-01,2.0,0.0,2.0
LA ASUNTA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-10-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-10-01,1.0,0.0,1.0
VILLAZON,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-10-01,1.0,0.0,1.0
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-10-01,0.0,1.0,1.0
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-11-01,0.0,1.0,1.0
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-11-01,0.0,2.0,2.0
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-11-01,1.0,0.0,1.0
PADCAYA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-11-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-11-01,5.0,0.0,5.0
VILLA MONTES,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-11-01,1.0,0.0,1.0
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-11-01,1.0,1.0,2.0
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-12-01,1.0,0.0,1.0
GENERAL SAAVEDRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-12-01,0.0,1.0,1.0
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-12-01,0.0,0.0,0.0
MONTERO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-12-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2017-12-01,1.0,1.0,2.0
