,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
CAIROMA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
CAMARGO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
CHALLAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,14,3,17
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,0,1,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,15,8,23
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,20,20,40
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,2,1,3
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,4,0,4
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,2,3
PADCAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,1,2
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,3,4
PUCARANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
PUNA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,0,1,1
PUNATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,2,0,2
QUIRUSILLAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,0,2,2
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
SAN PEDRO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,12,10,22
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,3,1,4
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,2,3
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,2,1,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,2,1,3
VILLA RIVERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,2,0,2
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,3,0,3
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-01-01,3,0,3
ACHOCALLA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
CHAYANTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2017-02-01,1,0,1
