,group,variable,month,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,4,0,4
CHALLAPATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,0,1
CKOCHAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,6,4,10
CONCEPCION,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,2,2,4
COROICO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,1,1
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,2,2
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,2,3
GUAYARAMERIN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,3,3
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,2,1,3
MIZQUE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,4,1,5
OKINAWA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,2,0,2
PAMPA GRANDE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,2,2
POJO (CBBA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,2,2
PUCARANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,2,1,3
SAN ANDRES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,1,1
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,2,3
SAN JUAN DE YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,0,1
SAN LUCAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,1,1
SAN PEDRO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,16,18,34
SICA SICA (VILLA AROMA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,1,1
SUCRE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,2,2
TARIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,0,1
TIPUANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,2,3
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,2,2
VILLA CHARCAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,1,0,1
VINTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,0,1,1
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2017-01-01,5,2,7
