,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-01-01,1.0,1.0,2.0
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-01-01,1.0,0.0,1.0
OMEREQUE,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-01-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-02-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-04-01,1.0,2.0,3.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-04-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-05-01,2.0,0.0,2.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-06-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-07-01,0.0,2.0,2.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-08-01,1.0,0.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-09-01,1.0,2.0,3.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-09-01,0.0,0.0,0.0
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-10-01,1.0,0.0,1.0
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-11-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-11-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-11-01,0.0,0.0,0.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar,2017-12-01,0.0,0.0,0.0
