,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-01-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-01-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-02-01,5,0,5
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-03-01,2,1,3
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-04-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-04-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-05-01,2,1,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-06-01,5,0,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-07-01,1,2,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-07-01,4,2,6
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-08-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-09-01,2,1,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-09-01,0,0,0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-10-01,3,2,5
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-10-01,3,1,4
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-11-01,3,1,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-11-01,0,0,0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-12-01,1,1,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-12-01,5,1,6
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2017-12-01,0,0,0
