,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,0,1,1
ATOCHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,1,1,2
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,1,2,3
CORIPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,4,2,6
LAGUNILLAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,0,3,3
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,1,0,1
ROBORE,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,1,1,2
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,6,8,14
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,0,2,2
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,1,0,1
YANACACHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-01-01,1,0,1
ATOCHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,0,1,1
CARAPARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,2,2,4
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
CULPINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,3,1,4
GUAQUI,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,2,6,8
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,0,2,2
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,0,1,1
PUNA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,0,1,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,3,2,5
SIPE SIPE,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
TACACOMA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,1,0,1
UYUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,0,1,1
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2017-02-01,0,1,1
