,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,0,1,1
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,0,1,1
AYATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,1,2
CAIROMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,0,2,2
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,2,2,4
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,2,0,2
CARACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,5,4,9
CHALLAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,1,2
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,4,0,4
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,11,5,16
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,2,1,3
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,2,0,2
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,1,2
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,2,3,5
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,2,0,2
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,17,7,24
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,0,2,2
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,3,0,3
GUTIERREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,0,1
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,4,0,4
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,3,2,5
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,12,9,21
LAGUNILLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,0,1,1
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,2,1,3
MECAPACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,0,1
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,0,1
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,4,0,4
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,0,1,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,9,4,13
MOROCHATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,0,1
OKINAWA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,3,0,3
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,0,1
PADCAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2017-01-01,1,0,1
