,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,2,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,1,3
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,1,2
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,0,2
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,6,5,11
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,1,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,5,0,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,25,9,34
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,1,2
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,1,3
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,2,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,1,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,3,3,6
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,29,14,43
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,3,3
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,2,0,2
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,4,0,4
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,3,3,6
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,37,27,64
LAGUNILLAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,4,1,5
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,1,0,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,3,0,3
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,13,4,17
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema i,2017-01-01,3,0,3
