,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,12,1,12,13
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,4,6,4,6,10
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,4,16,4,16,20
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,8,0,8,8
BAURES,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,2,4,2,4,6
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,13,44,13,44,57
BOYUIBE,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,1,0,1,1
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,6,31,6,31,37
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,24,68,24,68,92
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,12,45,12,45,57
CARMEN RIVERO TORREZ,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,0,1,0,1
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,11,25,11,25,36
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,4,7,4,7,11
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,2,20,2,20,22
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,71,191,71,191,262
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,170,506,170,506,676
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,10,15,10,15,25
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,3,1,3,4
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,2,9,2,9,11
COTAGAITA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,0,1,0,1
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,2,12,2,12,14
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,178,720,178,720,898
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,7,0,7,7
ESCOMA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,1,1,1,2
GUANAY,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,3,0,3,3
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,1,0,1,1
HUACARETA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,1,0,1,1
HUANUNI,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,6,1,6,7
ICLA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,0,1,0,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,2,9,2,9,11
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,326,654,326,654,980
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,9,8,9,8,17
MACHARETI,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,2,1,2,1,3
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,1,1,1,1,2
MAIRANA,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,0,5,0,5,5
MIZQUE,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,2,3,2,3,5
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,23,40,23,40,63
MONTERO,internaciones,ingresos referidos de otros establecimientos de salud,2020-01-01,100,280,100,280,380
