,group,variable,month,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO FALCIPARUM,MENORES DE 1 AÑO FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CONCEPCION,malaria,menores de 1 ano,2022-01-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,menores de 1 ano,2022-01-01,0,2,0,0,0,2,2
IXIAMAS,malaria,menores de 1 ano,2022-01-01,0,1,0,0,0,1,1
SENA,malaria,menores de 1 ano,2022-01-01,0,1,0,0,0,1,1
IXIAMAS,malaria,menores de 1 ano,2022-02-01,0,1,0,0,0,1,1
LA PAZ,malaria,menores de 1 ano,2022-02-01,0,0,0,0,0,0,0
RIBERALTA,malaria,menores de 1 ano,2022-02-01,0,1,0,0,0,1,1
SENA,malaria,menores de 1 ano,2022-02-01,0,2,0,0,0,2,2
IXIAMAS,malaria,menores de 1 ano,2022-03-01,1,0,0,0,1,0,1
REYES,malaria,menores de 1 ano,2022-03-01,1,0,0,0,1,0,1
RIBERALTA,malaria,menores de 1 ano,2022-03-01,0,1,0,0,0,1,1
SENA,malaria,menores de 1 ano,2022-03-01,1,0,0,0,1,0,1
IXIAMAS,malaria,menores de 1 ano,2022-04-01,1,0,0,0,1,0,1
REYES,malaria,menores de 1 ano,2022-04-01,1,0,0,0,1,0,1
RIBERALTA,malaria,menores de 1 ano,2022-04-01,0,2,0,0,0,2,2
SENA,malaria,menores de 1 ano,2022-04-01,1,2,0,0,1,2,3
IXIAMAS,malaria,menores de 1 ano,2022-05-01,1,0,0,0,1,0,1
MONTERO,malaria,menores de 1 ano,2022-05-01,0,2,0,10,0,12,12
RIBERALTA,malaria,menores de 1 ano,2022-05-01,3,1,0,0,3,1,4
SENA,malaria,menores de 1 ano,2022-05-01,1,0,0,0,1,0,1
RIBERALTA,malaria,menores de 1 ano,2022-06-01,1,0,0,0,1,0,1
SENA,malaria,menores de 1 ano,2022-06-01,0,1,1,0,1,1,2
SUCRE,malaria,menores de 1 ano,2022-06-01,0,0,1,2,1,2,3
CONCEPCION,malaria,menores de 1 ano,2022-07-01,1,0,0,0,1,0,1
SENA,malaria,menores de 1 ano,2022-07-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,menores de 1 ano,2022-08-01,0,2,0,0,0,2,2
RIBERALTA,malaria,menores de 1 ano,2022-08-01,0,1,0,0,0,1,1
SENA,malaria,menores de 1 ano,2022-08-01,3,1,0,0,3,1,4
IXIAMAS,malaria,menores de 1 ano,2022-09-01,1,0,0,0,1,0,1
REYES,malaria,menores de 1 ano,2022-09-01,2,0,0,0,2,0,2
SENA,malaria,menores de 1 ano,2022-09-01,0,1,0,0,0,1,1
COCHABAMBA,malaria,menores de 1 ano,2022-10-01,0,0,1,0,1,0,1
RIBERALTA,malaria,menores de 1 ano,2022-10-01,1,0,0,0,1,0,1
CONCEPCION,malaria,menores de 1 ano,2022-11-01,1,0,0,0,1,0,1
REYES,malaria,menores de 1 ano,2022-11-01,1,0,0,0,1,0,1
RIBERALTA,malaria,menores de 1 ano,2022-11-01,0,2,0,0,0,2,2
SENA,malaria,menores de 1 ano,2022-11-01,0,0,1,0,1,0,1
GUAYARAMERIN,malaria,menores de 1 ano,2022-12-01,1,1,0,0,1,1,2
RIBERALTA,malaria,menores de 1 ano,2022-12-01,1,1,0,0,1,1,2
SENA,malaria,menores de 1 ano,2022-12-01,1,0,0,0,1,0,1
