,group,variable,month,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
LA PAZ,malaria,tratamientos especificos para malaria grave,2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUAYARAMERIN,malaria,tratamientos especificos para malaria grave,2022-03-01,29.0,21.0,0.0,0.0,29.0,21.0,50.0
PUERTO GONZALO MORENO,malaria,tratamientos especificos para malaria grave,2022-03-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos especificos para malaria grave,2022-03-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
GUAYARAMERIN,malaria,tratamientos especificos para malaria grave,2022-05-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
MONTERO,malaria,tratamientos especificos para malaria grave,2022-05-01,0.0,1.0,0.0,19.0,0.0,20.0,20.0
SAN JULIAN,malaria,tratamientos especificos para malaria grave,2022-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
GUAYARAMERIN,malaria,tratamientos especificos para malaria grave,2022-10-01,0.0,0.0,2.0,0.0,2.0,0.0,2.0
