,group,variable,month,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS FALCIPARUM,DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,malaria,de 5 anos y mas,2022-01-01,14,6,0,0,14,6,20
COBIJA,malaria,de 5 anos y mas,2022-01-01,3,1,0,1,3,2,5
COCHABAMBA,malaria,de 5 anos y mas,2022-01-01,1,0,0,0,1,0,1
CONCEPCION,malaria,de 5 anos y mas,2022-01-01,26,48,0,0,26,48,74
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2022-01-01,5,1,0,0,5,1,6
FILADELFIA,malaria,de 5 anos y mas,2022-01-01,3,0,0,0,3,0,3
GUAYARAMERIN,malaria,de 5 anos y mas,2022-01-01,23,25,0,0,23,25,48
INGAVI (HUMAITA),malaria,de 5 anos y mas,2022-01-01,3,3,3,2,6,5,11
IXIAMAS,malaria,de 5 anos y mas,2022-01-01,50,12,8,3,58,15,73
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2022-01-01,10,6,0,0,10,6,16
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2022-01-01,3,3,0,0,3,3,6
PORVENIR,malaria,de 5 anos y mas,2022-01-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2022-01-01,4,3,0,0,4,3,7
PUERTO RICO,malaria,de 5 anos y mas,2022-01-01,17,11,0,0,17,11,28
REYES,malaria,de 5 anos y mas,2022-01-01,2,2,0,0,2,2,4
RIBERALTA,malaria,de 5 anos y mas,2022-01-01,154,90,8,2,162,92,254
SAN JULIAN,malaria,de 5 anos y mas,2022-01-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 5 anos y mas,2022-01-01,10,7,0,0,10,7,17
SAN PEDRO(PND),malaria,de 5 anos y mas,2022-01-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,de 5 anos y mas,2022-01-01,4,0,0,0,4,0,4
SENA,malaria,de 5 anos y mas,2022-01-01,31,27,2,1,33,28,61
ZUDAÑEZ,malaria,de 5 anos y mas,2022-01-01,0,1,0,0,0,1,1
