,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COBIJA,malaria,de 1 a menores de 5 anos,2022-01-01,2,0,0,0,2,0,2
CONCEPCION,malaria,de 1 a menores de 5 anos,2022-01-01,4,1,0,0,4,1,5
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2022-01-01,38,17,0,0,38,17,55
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2022-01-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2022-01-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2022-01-01,1,1,0,0,1,1,2
PUERTO RICO,malaria,de 1 a menores de 5 anos,2022-01-01,0,1,0,0,0,1,1
REYES,malaria,de 1 a menores de 5 anos,2022-01-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-01-01,3,4,0,0,3,4,7
SANTA ROSA,malaria,de 1 a menores de 5 anos,2022-01-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2022-01-01,2,3,0,0,2,3,5
COBIJA,malaria,de 1 a menores de 5 anos,2022-02-01,1,1,0,0,1,1,2
CONCEPCION,malaria,de 1 a menores de 5 anos,2022-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2022-02-01,4,1,0,0,4,1,5
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2022-02-01,0,1,0,0,0,1,1
LA PAZ,malaria,de 1 a menores de 5 anos,2022-02-01,0,0,0,0,0,0,0
PUERTO RICO,malaria,de 1 a menores de 5 anos,2022-02-01,0,1,0,0,0,1,1
REYES,malaria,de 1 a menores de 5 anos,2022-02-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2022-02-01,9,6,0,0,9,6,15
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2022-02-01,3,0,0,0,3,0,3
