,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
PUERTO RICO,malaria,mujer embarazada,2022-01-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2022-01-01,0,4,0,0,0,4,4
SENA,malaria,mujer embarazada,2022-01-01,0,3,0,0,0,3,3
VALLEGRANDE,malaria,mujer embarazada,2022-01-01,0,0,0,5,0,5,5
CORIPATA,malaria,mujer embarazada,2022-02-01,0,0,0,3,0,3,3
LA PAZ,malaria,mujer embarazada,2022-02-01,0,0,0,0,0,0,0
PUERTO GONZALO MORENO,malaria,mujer embarazada,2022-02-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2022-02-01,0,4,0,0,0,4,4
SENA,malaria,mujer embarazada,2022-02-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,mujer embarazada,2022-03-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2022-03-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,mujer embarazada,2022-04-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2022-04-01,0,7,0,0,0,7,7
SENA,malaria,mujer embarazada,2022-04-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2022-05-01,0,1,0,1,0,2,2
MONTERO,malaria,mujer embarazada,2022-05-01,7,0,4,48,11,48,59
RIBERALTA,malaria,mujer embarazada,2022-05-01,0,2,0,0,0,2,2
VILLA NUEVA (LOMA ALTA),malaria,mujer embarazada,2022-05-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2022-06-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,mujer embarazada,2022-06-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2022-06-01,0,2,0,0,0,2,2
SOPACHUY,malaria,mujer embarazada,2022-06-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,mujer embarazada,2022-07-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2022-07-01,0,2,0,0,0,2,2
SENA,malaria,mujer embarazada,2022-07-01,0,1,0,0,0,1,1
MONTERO,malaria,mujer embarazada,2022-08-01,0,0,11,0,11,0,11
PUERTO RICO,malaria,mujer embarazada,2022-08-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2022-08-01,0,3,0,0,0,3,3
BELLA FLOR,malaria,mujer embarazada,2022-09-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2022-09-01,0,3,0,1,0,4,4
GUAYARAMERIN,malaria,mujer embarazada,2022-10-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2022-10-01,0,7,0,0,0,7,7
SENA,malaria,mujer embarazada,2022-10-01,0,0,0,1,0,1,1
RIBERALTA,malaria,mujer embarazada,2022-11-01,0,4,0,1,0,5,5
SENA,malaria,mujer embarazada,2022-11-01,0,2,0,0,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2022-11-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2022-12-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2022-12-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,mujer embarazada,2022-12-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2022-12-01,0,2,0,0,0,2,2
SENA,malaria,mujer embarazada,2022-12-01,0,2,0,0,0,2,2
