,group,variable,month,CARDIOVASCULARES CANTIDAD,CARDIOVASCULARES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,4,1,5
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,13,10,23
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,7,5,12
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,3,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,31,44,75
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,13,47,60
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,14,15
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,3,6,9
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,3,1,4
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,3,3
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,3,0,3
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,4,6,10
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,206,247,453
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,0,2
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,5,7
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,4,2,6
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,2,2
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,2,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,2,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,1,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,75,131,206
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,3,2,5
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,7,4,11
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,3,1,4
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,2,3,5
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2011-01-01,0,1,1
