,group,variable,month,CÁNCER OTROS CANTIDAD,CÁNCER OTROS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,3,5,8
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,0,2,2
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,105,323,428
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,7,15,22
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,0,2,2
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,2,1,3
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,91,37,128
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,1,3,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,1,13,14
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,2,2,4
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,1,1,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,2,1,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,0,5,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,199,162,361
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,48,45,93
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,13,11,24
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,2,5,7
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,2,1,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,2,4,6
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,5,1,6
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-01-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,1,3,4
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2011-02-01,179,330,509
