,group,variable,month,CÁNCER CERVICOUTERINO CANTIDAD,CÁNCER CERVICOUTERINO CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,2,2
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,77,77
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,20,20
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,3,3
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,63,63
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,3,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,4,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,2,2
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,51,51
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,37,37
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,2,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,6,6
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,3,3
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,4,4
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-01-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,83,83
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,3,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,23,23
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,3,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,71,71
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,6,6
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,4,4
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,1,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,4,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2011-02-01,0,2,2
