,group,variable,month,HABITO DE FUMAR CANTIDAD,HABITO DE FUMAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,97,33,130
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,18,12,30
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,141,13,154
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,94,8,102
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,2,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,4,13,17
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,2,0,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,3,0,3
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,28,0,28
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,2,0,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,62,22,84
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,20,0,20
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,20,0,20
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,88,54,142
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,15,5,20
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,39,9,48
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,29,10,39
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,2,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,23,13,36
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,25,11,36
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-01-01,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,20,0,20
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2011-02-01,4,0,4
