,group,variable,month,REUMÁTICAS CANTIDAD,REUMÁTICAS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,12,23,35
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,7,11,18
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,21,25,46
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,20,33,53
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,11,13
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,1,4
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,8,9
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,2,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,16,14,30
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,1,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,10,20,30
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,10,6,16
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,51,78,129
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,10,14,24
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,1,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,15,16,31
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,1,2
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,1,2
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,13,13
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,28,75,103
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,15,16
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,17,31,48
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,4,4,8
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,1,4
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,9,11
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,2,2
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,3,0,3
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,6,20,26
CHARAÑA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,2,2
CHAYANTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,1,3,4
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,3,5
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,2,4
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,2,4
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,8,17,25
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,2,2,4
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,13,27,40
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,16,43,59
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,161,413,574
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,0,3,3
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2011-01-01,8,8,16
