,group,variable,month,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,4,5,9
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,3,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,2,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,2,8,10
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,63,135,198
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,2,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,44,54,98
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,2,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,0,1
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,4,1,5
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,113,202,315
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,1,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,3,5,8
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,4,14,18
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,5,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,9,10
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,2,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,2,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,1,2,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,2,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2011-01-01,0,5,5
