,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,2,0,2
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,4,5,9
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,2,2,4
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,6,19,25
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,2,3
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,0,1,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,3,2,5
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,3,4
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,4,2,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,1,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,2,3
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,2,0,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,3,1,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,2,0,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,3,2,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,3,2,5
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,2,5,7
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,8,4,12
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,0,1
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,31,20,51
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,76,60,136
TODOS SANTOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-01-01,1,0,1
