,group,variable,month,TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,1,1,2
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,1,0,1
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,1,2,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,27,31,58
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,0,6,6
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,0,3,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,9,3,12
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,18,5,23
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,2,4,6
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,18,5,23
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,0,1,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-01-01,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-02-01,1,0,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-02-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-02-01,1,0,1
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-02-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-02-01,11,3,14
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-02-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-02-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-02-01,12,37,49
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2011-02-01,0,3,3
