,group,variable,month,ABUSO DE ALCOHOL CANTIDAD,ABUSO DE ALCOHOL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,1,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,3,0,3
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,8,1,9
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,0,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,3,0,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,28,7,35
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,4,1,5
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,31,9,40
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,0,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,1,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,0,2
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,96,45,141
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,0,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,0,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,5,2,7
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,2,0,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,3,0,3
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,9,3,12
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,1,2
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,6,1,7
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,20,4,24
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2011-01-01,1,1,2
