,group,variable,month,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,N° DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,1,1
ACHACACHI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,35,35
AIQUILE,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,59,59
ALCALA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,6,6
ANCORAIMES,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,10,10
APOLO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,23,23
ARAMPAMPA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,6,6
ASCENCION DE GUARAYOS,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,82,82
AYOPAYA (V. DE INDEPENDENCIA),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,2,2
AZURDUY,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,16,16
BERMEJO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,51,51
BETANZOS,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,35,35
BOLIVAR,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,4,4
BOLPEBRA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,1,1
BUENA VISTA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,23,23
CABEZAS,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,45,45
"CAIZA ""D""",vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,4,4
CAMARGO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,36,36
CAMATAQUI (C. VILLA ABECIA),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,2,2
CAMIRI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,146,146
CARACOLLO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,33,33
CARAPARI,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,33,33
CARMEN RIVERO TORREZ,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,10,10
CHALLAPATA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,133,133
CHARAGUA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,15,15
CHIPAYA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,6,6
CHULUMANI (V. DE LA LIBERTAD),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,41,41
CHUMA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,6,6
CLIZA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,69,69
COBIJA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,124,124
COCHABAMBA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,1154,1154
COLCAPIRHUA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,1,1
COLPA BELGICA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,12,12
COLQUECHACA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,23,23
COMARAPA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,24,24
CORO CORO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,9,9
COROICO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,60,60
COTAGAITA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,1,1
COTOCA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,81,81
CUATRO CAÑADAS,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,42,42
CUEVO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,6,6
CULPINA,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,48,48
EL ALTO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,1626,1626
EL PUENTE(STC),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,21,21
EL PUENTE(TJA),vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,22,22
EL TORNO,vih,n de mujeres embarazadas con prueba rapida,2013-01-01,0,147,147
