,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,3,4
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,13,37,50
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,21,22
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,6,6
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,4,40,44
ARAMPAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,7,7
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,14,128,142
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,27,28
BELEN DE ANDAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,1,2
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,49,49
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,13,2,15
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,5,46,51
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,39,39
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,3,3,6
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,19,159,178
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,7,42,49
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,4,35,39
CARMEN RIVERO TORREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,10,10,20
CHULUMANI (V. DE LA LIBERTAD),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,46,48
CHUMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,6,8
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,72,73
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,304,306
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,57,1310,1367
COLPA BELGICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,2,5,7
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,3,26,29
CORO CORO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,3,20,23
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,1,1,2
COTAGAITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,3,4,7
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,4,81,85
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,55,55
CUEVO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,6,6
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,48,48
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,224,1682,1906
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,12,28,40
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,19,19
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,42,220,262
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,0,6,6
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-01-01,8,18,26
