,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,0,0,2,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,1,1,0,2,4
ANZALDO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,1,0,0,1
ARQUE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,3,4,2,0,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,1,0,0,0,1
BAURES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,2,0,0,0,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,1,1,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,1,2,0,0,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,12,3,0,0,15
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,1,1,4,6
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,2,1,1,4
CLIZA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,0,1,1,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,2,1,1,1,5
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,31,22,0,0,53
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,1,2,0,0,3
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,1,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,6,3,0,1,10
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,0,1,3,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,36,49,9,12,106
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,1,2,0,1,4
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,2,0,0,2
ESCOMA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,0,1,1,2
GUANAY,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,1,0,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,1,0,0,1,2
HUMANATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,2,0,0,0,2
ICHOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,1,0,0,0,1
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,1,0,0,1,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,1,0,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,1,1,0,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,7,8,0,0,15
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,25,30,17,7,79
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2018-01-01,0,0,1,0,1
