,group,variable,month,ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,1,0,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,2,0,0,2
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,2,0,1,1,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,4,8,4,0,16
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,4,2,0,0,6
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,2,0,0,3
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,0,2,1,3
PALCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,2,1,1,5
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,0,1,1,2
QUIME,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,1
RAQAYPAMPA(ETA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,1,1,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,6,3,0,0,9
TIAWANACU,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,2,0,0,3
VIACHA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,2,2,0,0,4
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,1
AIQUILE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 1ra dosis,2018-02-01,1,0,0,1,2
