,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,1,0,1,0,2
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,4,4,0,0,8
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,0,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,4,7,2,5,18
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,1,2,0,0,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,1,2,2,0,5
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,4,3,0,0,7
LAJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,0,1,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,1,0,0,1
MIZQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,2,0,0,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,1,1,0,1,3
PALCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,1,0,0,0,1
POOPO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,1,1,0,2
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,1,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,1,0,0,0,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,1,0,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,2,0,0,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,1,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,1,1,0,2,4
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,2,1,1,4
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,8,5,1,0,14
SENA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,1,0,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,3,0,0,0,3
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2018-01-01,1,0,0,0,1
