,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,1,1,0,2,4
ANZALDO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,1,0,0,1
ARQUE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,1,2,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,1,3,0,0,4
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,3,2,0,0,5
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,12,2,0,0,14
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,1,1,3,5
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,1,0,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,2,1,1,4
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,1,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,0,1,1,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,1,1,1,1,4
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,25,22,0,0,47
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,2,0,0,0,2
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,1,0,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,6,3,0,1,10
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,0,1,3,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,33,46,7,14,100
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,1,2,0,0,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,2,0,0,2
GUANAY,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,1,4,0,0,5
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,0,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,1,0,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,3,1,0,0,4
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,5,7,0,0,12
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,30,31,9,7,77
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,0,1,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,2,0,1,3
MINEROS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2018-01-01,0,1,0,0,1
