,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,0,1,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,2,0,0,0,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,0,0,0,1,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,0,1,0,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,2,1,1,6,10
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,10,9,0,0,19
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,5,8,0,0,13
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,0,0,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,0,0,0,2,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,0,1,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,11,8,2,0,21
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,1,9,0,0,10
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,2,6,0,0,8
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,2,0,0,0,2
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,1,0,0,0,1
TORO TORO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,3,6,0,0,9
TUPIZA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,0,4,0,0,4
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,2,1,0,0,3
VILA VILA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,1,0,0,1,2
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-01-01,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,0,0,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,1,0,1,0,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,3,0,0,0,3
COCAPATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,0,0,1,2,3
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,1,3,0,0,4
COMBAYA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,1,0,2,2,5
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,4,6,0,0,10
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,2,2,0,0,4
EXALTACION,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,1,0,0,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,1,0,1,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,1,4,10,3,18
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2018-02-01,2,0,0,0,2
