,group,variable,month,TOTAL TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TOTAL TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TOTAL TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TOTAL TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
GUAYARAMERIN,malaria,total tratamientos especificos para malaria grave,2015-01-01,2,1,3,1,5,2,7
SENA,malaria,total tratamientos especificos para malaria grave,2015-01-01,22,11,0,0,22,11,33
VILLA NUEVA (LOMA ALTA),malaria,total tratamientos especificos para malaria grave,2015-01-01,6,5,0,0,6,5,11
BUENA VISTA,malaria,total tratamientos especificos para malaria grave,2015-02-01,1,0,0,0,1,0,1
COBIJA,malaria,total tratamientos especificos para malaria grave,2015-02-01,3,2,0,0,3,2,5
GUAYARAMERIN,malaria,total tratamientos especificos para malaria grave,2015-02-01,0,0,0,1,0,1,1
RIBERALTA,malaria,total tratamientos especificos para malaria grave,2015-02-01,6,7,0,0,6,7,13
COBIJA,malaria,total tratamientos especificos para malaria grave,2015-03-01,9,4,0,0,9,4,13
GUAYARAMERIN,malaria,total tratamientos especificos para malaria grave,2015-03-01,3,0,0,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,total tratamientos especificos para malaria grave,2015-03-01,0,3,0,0,0,3,3
PUERTO RICO,malaria,total tratamientos especificos para malaria grave,2015-03-01,5,2,0,0,5,2,7
RIBERALTA,malaria,total tratamientos especificos para malaria grave,2015-03-01,9,3,0,0,9,3,12
YACUIBA,malaria,total tratamientos especificos para malaria grave,2015-03-01,1,0,0,0,1,0,1
COBIJA,malaria,total tratamientos especificos para malaria grave,2015-04-01,6,3,0,0,6,3,9
REYES,malaria,total tratamientos especificos para malaria grave,2015-04-01,1,0,0,0,1,0,1
RIBERALTA,malaria,total tratamientos especificos para malaria grave,2015-04-01,18,2,0,0,18,2,20
COBIJA,malaria,total tratamientos especificos para malaria grave,2015-05-01,7,1,0,0,7,1,8
RIBERALTA,malaria,total tratamientos especificos para malaria grave,2015-05-01,38,16,0,0,38,16,54
SENA,malaria,total tratamientos especificos para malaria grave,2015-05-01,26,18,0,0,26,18,44
YACUIBA,malaria,total tratamientos especificos para malaria grave,2015-05-01,4,3,0,0,4,3,7
COBIJA,malaria,total tratamientos especificos para malaria grave,2015-06-01,6,1,0,0,6,1,7
MONTERO,malaria,total tratamientos especificos para malaria grave,2015-06-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total tratamientos especificos para malaria grave,2015-06-01,10,1,0,0,10,1,11
BUENA VISTA,malaria,total tratamientos especificos para malaria grave,2015-07-01,0,1,0,0,0,1,1
COBIJA,malaria,total tratamientos especificos para malaria grave,2015-07-01,4,1,0,0,4,1,5
GUAYARAMERIN,malaria,total tratamientos especificos para malaria grave,2015-07-01,1,0,0,0,1,0,1
MONTERO,malaria,total tratamientos especificos para malaria grave,2015-07-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total tratamientos especificos para malaria grave,2015-07-01,18,2,1,0,19,2,21
SAN JOAQUIN,malaria,total tratamientos especificos para malaria grave,2015-07-01,1,0,0,0,1,0,1
COBIJA,malaria,total tratamientos especificos para malaria grave,2015-08-01,7,3,0,0,7,3,10
GUAYARAMERIN,malaria,total tratamientos especificos para malaria grave,2015-08-01,1,2,0,0,1,2,3
MONTERO,malaria,total tratamientos especificos para malaria grave,2015-08-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total tratamientos especificos para malaria grave,2015-08-01,4,2,0,0,4,2,6
COBIJA,malaria,total tratamientos especificos para malaria grave,2015-09-01,7,3,0,0,7,3,10
MONTERO,malaria,total tratamientos especificos para malaria grave,2015-09-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total tratamientos especificos para malaria grave,2015-09-01,2,0,0,0,2,0,2
SAN LORENZO(PND),malaria,total tratamientos especificos para malaria grave,2015-09-01,4,2,0,0,4,2,6
VILLA NUEVA (LOMA ALTA),malaria,total tratamientos especificos para malaria grave,2015-09-01,4,2,0,0,4,2,6
COBIJA,malaria,total tratamientos especificos para malaria grave,2015-10-01,3,4,0,0,3,4,7
GUAYARAMERIN,malaria,total tratamientos especificos para malaria grave,2015-10-01,0,0,1,0,1,0,1
MONTERO,malaria,total tratamientos especificos para malaria grave,2015-10-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total tratamientos especificos para malaria grave,2015-10-01,4,3,0,0,4,3,7
SAN LORENZO(PND),malaria,total tratamientos especificos para malaria grave,2015-10-01,2,3,0,0,2,3,5
COBIJA,malaria,total tratamientos especificos para malaria grave,2015-11-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total tratamientos especificos para malaria grave,2015-11-01,3,1,0,0,3,1,4
MONTERO,malaria,total tratamientos especificos para malaria grave,2015-11-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total tratamientos especificos para malaria grave,2015-11-01,9,5,0,0,9,5,14
MONTERO,malaria,total tratamientos especificos para malaria grave,2015-12-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total tratamientos especificos para malaria grave,2015-12-01,11,2,0,0,11,2,13
