,group,variable,month,TOTAL DE 1 A MENORES DE 5 AÑOS VIVAX,TOTAL DE 1 A MENORES DE 5 AÑOS VIVAX,TOTAL DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTAL DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,malaria,total de 1 a menores de 5 anos,2015-01-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,total de 1 a menores de 5 anos,2015-01-01,1,0,0,0,1,0,1
COBIJA,malaria,total de 1 a menores de 5 anos,2015-01-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,total de 1 a menores de 5 anos,2015-01-01,2,2,0,0,2,2,4
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-01-01,0,4,0,0,0,4,4
INGAVI (HUMAITA),malaria,total de 1 a menores de 5 anos,2015-01-01,2,0,0,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,total de 1 a menores de 5 anos,2015-01-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,total de 1 a menores de 5 anos,2015-01-01,1,0,0,0,1,0,1
PORVENIR,malaria,total de 1 a menores de 5 anos,2015-01-01,0,1,0,0,0,1,1
RIBERALTA,malaria,total de 1 a menores de 5 anos,2015-01-01,3,3,0,0,3,3,6
SAIPINA,malaria,total de 1 a menores de 5 anos,2015-01-01,3,5,0,0,3,5,8
SAN LORENZO(PND),malaria,total de 1 a menores de 5 anos,2015-01-01,0,1,0,0,0,1,1
SAN PEDRO(PND),malaria,total de 1 a menores de 5 anos,2015-01-01,1,0,0,0,1,0,1
SENA,malaria,total de 1 a menores de 5 anos,2015-01-01,0,2,0,0,0,2,2
VILLA NUEVA (LOMA ALTA),malaria,total de 1 a menores de 5 anos,2015-01-01,1,1,0,0,1,1,2
BUENA VISTA,malaria,total de 1 a menores de 5 anos,2015-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total de 1 a menores de 5 anos,2015-02-01,3,1,0,0,3,1,4
INGAVI (HUMAITA),malaria,total de 1 a menores de 5 anos,2015-02-01,2,0,0,0,2,0,2
