,group,variable,month,TOTAL MENORES DE 1 AÑO VIVAX,TOTAL MENORES DE 1 AÑO VIVAX,TOTAL MENORES DE 1 AÑO FALCIPARUM,TOTAL MENORES DE 1 AÑO FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAMARGO,malaria,total menores de 1 ano,2015-01-01,0,1,0,0,0,1,1
RIBERALTA,malaria,total menores de 1 ano,2015-01-01,1,0,0,0,1,0,1
AIQUILE,malaria,total menores de 1 ano,2015-02-01,0,1,0,0,0,1,1
BERMEJO,malaria,total menores de 1 ano,2015-02-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,total menores de 1 ano,2015-02-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,total menores de 1 ano,2015-02-01,0,1,0,0,0,1,1
SENA,malaria,total menores de 1 ano,2015-03-01,1,0,0,0,1,0,1
YACUIBA,malaria,total menores de 1 ano,2015-03-01,4,4,0,0,4,4,8
RIBERALTA,malaria,total menores de 1 ano,2015-04-01,2,3,0,0,2,3,5
SAN LUCAS,malaria,total menores de 1 ano,2015-04-01,0,1,0,0,0,1,1
YACUIBA,malaria,total menores de 1 ano,2015-04-01,5,2,0,0,5,2,7
AZURDUY,malaria,total menores de 1 ano,2015-05-01,1,0,0,0,1,0,1
CAMARGO,malaria,total menores de 1 ano,2015-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,total menores de 1 ano,2015-05-01,1,0,0,0,1,0,1
RIBERALTA,malaria,total menores de 1 ano,2015-05-01,1,0,0,0,1,0,1
YACUIBA,malaria,total menores de 1 ano,2015-05-01,2,2,0,0,2,2,4
GUAYARAMERIN,malaria,total menores de 1 ano,2015-06-01,1,0,0,0,1,0,1
MONTERO,malaria,total menores de 1 ano,2015-06-01,0,0,0,0,0,0,0
NUEVO MANOA (NUEVA ESPERANZA),malaria,total menores de 1 ano,2015-06-01,1,0,0,0,1,0,1
RIBERALTA,malaria,total menores de 1 ano,2015-06-01,0,1,0,0,0,1,1
SENA,malaria,total menores de 1 ano,2015-06-01,1,0,0,0,1,0,1
YACUIBA,malaria,total menores de 1 ano,2015-06-01,2,1,0,0,2,1,3
GUAYARAMERIN,malaria,total menores de 1 ano,2015-07-01,1,0,0,0,1,0,1
MONTERO,malaria,total menores de 1 ano,2015-07-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total menores de 1 ano,2015-07-01,1,0,0,0,1,0,1
MONTERO,malaria,total menores de 1 ano,2015-08-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total menores de 1 ano,2015-08-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,total menores de 1 ano,2015-08-01,2,2,0,0,2,2,4
ENTRE RIOS TRJ,malaria,total menores de 1 ano,2015-09-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,total menores de 1 ano,2015-09-01,1,0,0,0,1,0,1
MAGDALENA,malaria,total menores de 1 ano,2015-09-01,1,0,0,0,1,0,1
MONTERO,malaria,total menores de 1 ano,2015-09-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total menores de 1 ano,2015-09-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,total menores de 1 ano,2015-09-01,1,0,0,0,1,0,1
SENA,malaria,total menores de 1 ano,2015-09-01,1,0,0,0,1,0,1
MAGDALENA,malaria,total menores de 1 ano,2015-10-01,0,1,0,0,0,1,1
MONTERO,malaria,total menores de 1 ano,2015-10-01,0,0,0,0,0,0,0
PORVENIR,malaria,total menores de 1 ano,2015-10-01,1,0,0,0,1,0,1
SAN LUCAS,malaria,total menores de 1 ano,2015-10-01,1,0,0,0,1,0,1
SENA,malaria,total menores de 1 ano,2015-10-01,90,70,0,0,90,70,160
AZURDUY,malaria,total menores de 1 ano,2015-11-01,1,0,0,0,1,0,1
CARAPARI,malaria,total menores de 1 ano,2015-11-01,2,1,0,0,2,1,3
EUREKA (SANTOS MERCADO),malaria,total menores de 1 ano,2015-11-01,1,0,0,0,1,0,1
LA ASUNTA,malaria,total menores de 1 ano,2015-11-01,0,1,0,0,0,1,1
MONTERO,malaria,total menores de 1 ano,2015-11-01,0,0,0,0,0,0,0
NUEVO MANOA (NUEVA ESPERANZA),malaria,total menores de 1 ano,2015-11-01,1,0,0,0,1,0,1
RIBERALTA,malaria,total menores de 1 ano,2015-11-01,1,1,0,0,1,1,2
SENA,malaria,total menores de 1 ano,2015-11-01,1,0,0,0,1,0,1
TARIJA,malaria,total menores de 1 ano,2015-11-01,0,0,0,1,0,1,1
MONTERO,malaria,total menores de 1 ano,2015-12-01,0,0,0,0,0,0,0
RIBERALTA,malaria,total menores de 1 ano,2015-12-01,2,1,0,0,2,1,3
